MATRI	NOM_PRENOM	CLUB	ELO_CALCUL
41297	VAN DER BURGHT REMCO	401	2216
89206	FAYBISH ITAMAR	209	2215
97721	LACROIX BRUNO	239	2215
3051	TISSINK ARJAN	109	2214
1112	VAN HERCK MARCEL	124	2214
88421	LABEAU WERNER	174	2213
37761	DE BOLSTER WIM	418	2213
4189	VAN DAMME MARC	472	2213
54615	HUIZER MARK	101	2212
72168	MARINOF MARINO	239	2212
85197	BERNARD NICOLAS	239	2212
9156	ZOUAGHI NOURI	260	2212
833	TONOLI PETER	422	2212
66001	POLARSKI BERNARD	542	2212
15601	SCHUMACHER HELMUT	604	2212
85634	FOGUENNE MARC	607	2212
95052	ZAMPARO SERGIO	244	2211
97381	BRANDENBERG KARL-HEINZ	604	2211
9512	VANDENBROECK HANS	201	2210
40878	VAN HOOLANDT PATRICK	201	2210
98116	SEMINA SVETLANA	607	2210
60861	VAN UYTVEN ERIC	239	2208
15822	RENETTE HANS	727	2208
76368	ROGER MEHDI	901	2208
90344	DENYS SERGE	201	2207
52698	VERLINDEN DIRK	417	2207
3671	PRANGERS TOINE-GERARD	709	2207
9971	SEGARRA CONCALVES JORGE	109	2206
89761	SCHENKER MARK	209	2206
34380	GREGOIR CHRISTOPHE	401	2206
70211	JANSSENS WOUTER	186	2205
65323	HAMMARGREN PAR	229	2205
76929	DENAYER ERIC	501	2205
96555	VOS JAN	703	2205
15555	PLUMANNS DIETER	607	2204
76287	BURGNIES STEPHANE	901	2203
4693	MOLLEKENS ROELAND	109	2202
45462	VERMEULEN BRAM	243	2201
2623	MAES THOMAS	313	2200
35424	DE MEYER GEERT	402	2200
94331	ZARAGATSKI ILIJA	607	2200
58548	MICIC SNEZANA	209	2199
9253	VAN DE VELDE KOEN	432	2199
48356	PLOMP ERWIN	130	2197
36889	EIKELBOOM BEREND	422	2196
62898	JONGSMA DAAN	813	2196
92282	VUKOVIC DUSAN	506	2195
12858	DELABIE JAN	313	2194
99732	ARMINO LEO	604	2193
8354	DE WIT DICK	401	2192
57711	ELIET RENAUD	501	2192
92894	ANCIAUX MARC	952	2192
68306	STRUBBE PHILIPPE	301	2190
56529	BARENDSE TED	402	2190
95796	PELLE GUILLAUME	501	2190
58823	HOURIEZ ALAIN	506	2190
48011	COUNET JEAN-MICHEL	901	2190
